qid,question,gold_answer,gold_url,predicted_answer,mrr_url,exact_match,recall_at_k,time,retrieved_urls
Q0,What was the name of the book that was incorporated into the Bibliotheca Apostolica Vaticana? Answer: Bibliotheca Palatina,"Dorothea Walz, Die historischen und philosophischen Handschriften der Codices Palatini Latini in der Vatikanischen Bibliothek (Cod. Pal. La, La, La, La, La, La, La, La, La, La, La, La, La",https://en.wikipedia.org/wiki/Bibliotheca_Palatina,Bibliotheca Palatina,1.0,0,1,1.51704740524292,"['https://en.wikipedia.org/wiki/Bibliotheca_Palatina', 'https://en.wikipedia.org/wiki/Bibliotheca_Palatina', 'https://en.wikipedia.org/wiki/Bibliotheca_Palatina', 'https://en.wikipedia.org/wiki/Bibliotheca_Palatina', 'https://en.wikipedia.org/wiki/Verona_Orational']"
Q1,Who was the first to announce his candidacy? Answer: George Takach,David Merner,https://en.wikipedia.org/wiki/2013_Liberal_Party_of_Canada_leadership_election,Marc Garneau,1.0,0,1,1.2578601837158203,"['https://en.wikipedia.org/wiki/2013_Liberal_Party_of_Canada_leadership_election', 'https://en.wikipedia.org/wiki/2013_Liberal_Party_of_Canada_leadership_election', 'https://en.wikipedia.org/wiki/2013_Liberal_Party_of_Canada_leadership_election', 'https://en.wikipedia.org/wiki/1788%E2%80%9389_United_States_presidential_election', 'https://en.wikipedia.org/wiki/MTV_Europe_Music_Awards']"
Q2,What was the name of Nakhon Noi's father?,Sen Soulintha,https://en.wikipedia.org/wiki/Nakhon_Noi,Sen Soulintha,1.0,1,1,1.252361536026001,"['https://en.wikipedia.org/wiki/Nakhon_Noi', 'https://en.wikipedia.org/wiki/Phraya_Ratsadanupradit_Mahitsaraphakdi', 'https://en.wikipedia.org/wiki/Ananda_Mahidol', 'https://en.wikipedia.org/wiki/Maymunah_bint_al-Harith', 'https://en.wikipedia.org/wiki/Crommyonian_Sow']"
Q3,What was the name of the band that added a new lead guitarist? _,Addictive,https://en.wikipedia.org/wiki/Addictive_(Australian_band),Addictive,0.5,1,1,1.0253212451934814,"['https://en.wikipedia.org/wiki/Awaken_(song)', 'https://en.wikipedia.org/wiki/Addictive_(Australian_band)', 'https://en.wikipedia.org/wiki/Hard-Fi', 'https://en.wikipedia.org/wiki/Disco', 'https://en.wikipedia.org/wiki/Itsy_Bitsy_Teenie_Weenie_Yellow_Polkadot_Bikini']"
Q4,What is the name of the village that is surrounded by debris and inscribed with Arabic verses from the Qur'an? Answer: Sar'a Tell,Sar'a Tell,https://en.wikipedia.org/wiki/Sar%27a,Sar'a,1.0,0,1,1.1323187351226807,"['https://en.wikipedia.org/wiki/Sar%27a', 'https://en.wikipedia.org/wiki/Sar%27a', 'https://en.wikipedia.org/wiki/Sar%27a', 'https://en.wikipedia.org/wiki/Sar%27a', 'https://en.wikipedia.org/wiki/Sar%27a']"
Q5,"How many goals did Henderson score in the 2008–09 season?, Answer: 6",6,https://en.wikipedia.org/wiki/Darius_Henderson,[3],1.0,0,1,0.9655818939208984,"['https://en.wikipedia.org/wiki/Darius_Henderson', 'https://en.wikipedia.org/wiki/Darius_Henderson', 'https://en.wikipedia.org/wiki/Darius_Henderson', 'https://en.wikipedia.org/wiki/Darius_Henderson', 'https://en.wikipedia.org/wiki/Darius_Henderson']"
Q6,Who was the head coach of the Victoria Salmon Kings? Answer: Bryan Maxwell,Bryan Maxwell,https://en.wikipedia.org/wiki/Victoria_Salmon_Kings,Bryan Maxwell,1.0,1,1,1.0198078155517578,"['https://en.wikipedia.org/wiki/Victoria_Salmon_Kings', 'https://en.wikipedia.org/wiki/Victoria_Salmon_Kings', 'https://en.wikipedia.org/wiki/Victoria_Salmon_Kings', 'https://en.wikipedia.org/wiki/Victoria_Salmon_Kings', 'https://en.wikipedia.org/wiki/Victoria_Salmon_Kings']"
Q7,What is the name of the school where Peterson earned his bachelor's degree?,Marshall School of Business,https://en.wikipedia.org/wiki/Jason_Peterson,Sundance Film Festival,1.0,0,1,1.1213133335113525,"['https://en.wikipedia.org/wiki/Jason_Peterson', 'https://en.wikipedia.org/wiki/David_Rosenberg_(poet)', 'https://en.wikipedia.org/wiki/Ada_Lim%C3%B3n', 'https://en.wikipedia.org/wiki/Susan_Middleton', 'https://en.wikipedia.org/wiki/Paul_E._Kahle']"
Q8,What is the name of the plant that causes Panama disease? Answer: Fusarium oxysporum,banana,https://en.wikipedia.org/wiki/Fusarium_oxysporum,coca,1.0,0,1,1.224393606185913,"['https://en.wikipedia.org/wiki/Fusarium_oxysporum', 'https://en.wikipedia.org/wiki/Fusarium_oxysporum', 'https://en.wikipedia.org/wiki/Fusarium_oxysporum', 'https://en.wikipedia.org/wiki/Fusarium_oxysporum', 'https://en.wikipedia.org/wiki/Asphodelaceae']"
Q9,What is the name of the album that FM released in 1979? Answer: Surveillance,Surveillance,https://en.wikipedia.org/wiki/Surveillance_(FM_album),Surveillance,1.0,1,1,1.154336929321289,"['https://en.wikipedia.org/wiki/Surveillance_(FM_album)', 'https://en.wikipedia.org/wiki/Hard-Fi', 'https://en.wikipedia.org/wiki/Oasis_discography', 'https://en.wikipedia.org/wiki/The_2nd_Imaginary_Symphony_for_Cloudmaking', 'https://en.wikipedia.org/wiki/Disco']"
